date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:12:31	94497/94497	---MCZ	200	added ('OK')	text/html	date:Sat,%2011%20Sep%202021%2014:02:37%20GMT	https://brawlify.com/tr/maps/	C:/My%20Web%20Sites/deneme/brawlify.com/tr/maps/index.html	(from )
16:12:32	90/90	---M-Z	200	added ('OK')	text/plain	etag:%2246-5c47b48d26fc7-gzip%22	https://brawlify.com/robots.txt		(from )
16:12:32	24362/24362	---M-Z	200	added ('OK')	application/javascript	etag:%2240c922bd2e52ba1df1192227b9965ed2%22	https://brawlify.com/cdn-cgi/apps/head/huaYnYaFT1uTslzNLLLxcxzv2tQ.js	C:/My%20Web%20Sites/deneme/brawlify.com/cdn-cgi/apps/head/huaYnYaFT1uTslzNLLLxcxzv2tQ.js	(from https://brawlify.com/tr/maps/)
16:12:32	11011/11011	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2011%20Sep%202021%2014:13:02%20GMT	https://brawlify.com/tr/maps/GET	C:/My%20Web%20Sites/deneme/brawlify.com/tr/maps/GET	(from https://brawlify.com/tr/maps/)
16:12:33	11011/11011	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2011%20Sep%202021%2014:13:03%20GMT	https://brawlify.com/tr/maps/+/	C:/My%20Web%20Sites/deneme/brawlify.com/tr/maps/+/index.html	(from https://brawlify.com/tr/maps/)
16:12:33	49529/49529	---MC-	200	added ('OK')	text/javascript	date:Wed,%2011%20Aug%202021%2000:32:57%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/deneme/www.google-analytics.com/analytics.js	(from https://brawlify.com/tr/maps/)
16:12:34	857499/857499	---M-Z	200	added ('OK')	application/javascript	etag:%227d39e8707ace9ffa7628e427237bba95%22	https://hb.vntsm.com/v3/live/ad-manager.min.js	C:/My%20Web%20Sites/deneme/hb.vntsm.com/v3/live/ad-manager.min.js	(from https://brawlify.com/tr/maps/)
16:12:34	140961/140961	---MC-	200	added ('OK')	text/javascript	date:Sat,%2011%20Sep%202021%2014:13:04%20GMT	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	C:/My%20Web%20Sites/deneme/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://brawlify.com/tr/maps/)
16:12:34	65729/65729	---MCZ	200	added ('OK')	application/javascript	etag:W/%226f16bc452a225d7da116aa4c430872f8%22	https://www.datadoghq-browser-agent.com/datadog-rum.js	C:/My%20Web%20Sites/deneme/www.datadoghq-browser-agent.com/datadog-rum.js	(from https://brawlify.com/tr/maps/)
16:12:34	8042/8042	---M--	200	added ('OK')	image/png	etag:%22a7e3ad19365be93c9d9d94ef88e88e8d%22	https://cdn.brawlify.com/icons/star-512x512.png	C:/My%20Web%20Sites/deneme/cdn.brawlify.com/icons/star-512x512.png	(from https://brawlify.com/tr/maps/)
16:12:35	3191/3191	---M--	200	added ('OK')	image/png	etag:%22d879ebfba50572f2ce373f61e2d06308%22	https://cdn.brawlify.com/icons/star-192x192.png	C:/My%20Web%20Sites/deneme/cdn.brawlify.com/icons/star-192x192.png	(from https://brawlify.com/tr/maps/)
